step,mo,inflow,precip,evap,released,supplied,storage,% full,d_stage,% redu,deficit
34,11,9192.179050140523,5772.5263514627295,4703.827468376374,357.05758104509135,4823.227248715033,179645.00731903658,1.5640497915271032,0,1.0,0.0
35,12,7157.6594581297695,5739.798487941094,2677.6483695419156,368.9595004132611,5372.092820863479,184123.7645742888,1.6030433569810953,0,1.0,0.0
36,1,5160.779478514753,5408.245458168967,4988.618688151095,368.9595004132611,4850.187214072976,184485.02410833517,1.6061886038618447,0,1.0,0.0
37,2,10318.051371389967,2993.9677984077716,5565.61300252541,333.25374230875195,6132.376004326606,185765.80052897215,1.617339473700006,0,1.0,0.0
38,3,7663.294798626679,3605.791206459893,1019.383093043376,368.9595004132611,5489.39902117353,190157.14491942854,1.6555719933837814,0,1.0,0.0
39,4,16452.19932007821,4048.8617977301474,2595.8109096035478,595.0959684084856,5080.593918333112,202386.70524089175,1.5388448525861762,0,1.0,0.0
40,5,11466.865503306044,3902.3085009453935,544.8053774921282,614.9325006887685,5805.835872730644,210790.30549423164,1.6027415249375137,0,1.0,0.0
41,6,10868.150887618904,6195.50889339656,-24.647730906581273,595.0959684084856,6248.046499967782,221035.4705377774,1.680640512780569,0,1.0,0.0
42,7,3549.521853171092,5749.519463572127,1600.5542201294738,614.9325006887685,5932.9492867319395,222186.07584697043,1.6893891262594165,0,1.0,0.0
43,8,5164.576269964852,3779.830252640444,13080.105894653767,614.9325006887685,12671.290477666544,204764.15349656667,1.5569217514920641,0,1.0,0.0
44,9,9701.429608132248,4625.102395400987,1569.0877110443835,357.05758104509135,5415.8658995836895,211748.67430842674,1.843555102647934,0,1.0,0.0
45,10,4689.178464283278,1988.8341679834411,4548.925981131528,368.9595004132611,6640.849247347591,206867.95221180105,1.80106189623128,0,1.0,0.0
46,11,4924.844236051235,6511.689983213,126.79535878790193,357.05758104509135,6094.7830683296115,211725.85042290267,1.8433563902321062,0,1.0,0.0
47,12,10836.759178735188,3855.513867251342,2865.1052887892583,368.9595004132611,5092.240280387945,218091.81839929873,1.8987806462965573,0,1.0,0.0
48,1,6598.25254840417,2122.7942357189895,5280.392114535731,368.9595004132611,7046.259630172226,214117.25393830068,1.86417675270994,0,1.0,0.0
49,2,10423.181533511623,6205.4495989905845,4505.818243078422,333.25374230875195,4785.83370865878,221120.9793767569,1.925153539515246,0,1.0,0.0
50,3,5153.527310685924,5449.103190825117,3083.6671782994526,368.9595004132611,5532.015506320524,222738.9676932347,1.9392402894163228,0,1.0,0.0
51,4,4991.577666173854,1275.259506904462,1457.149473327794,595.0959684084856,4962.784815421313,221990.77460915543,1.6879041556722547,0,1.0,0.0
52,5,11039.526597449028,3939.574482717988,2348.8804212759715,614.9325006887685,5419.6876794599775,228586.37508789773,1.7380537237199527,0,1.0,0.0
53,6,6017.324944888004,4224.182892223005,7303.26909984395,595.0959684084856,7411.613893614075,223517.90396314225,1.699515665147735,0,1.0,0.0
54,7,4059.981226776729,5457.403940959397,4345.597263397474,614.9325006887685,5286.388510469563,222788.37085632258,1.693968669040039,0,1.0,0.0
55,8,5076.6836512912,8197.079561721825,5410.031707778689,614.9325006887685,5719.30330055773,224317.86656031045,1.7055981710289811,0,1.0,0.0
56,9,8496.520178261968,4673.038442863501,3336.7812229356787,357.05758104509135,5150.867163237609,228642.71921421753,1.9906403337227172,0,1.0,0.0
57,10,4774.763576269112,2650.1734476590645,4395.535057471367,368.9595004132611,6227.607185843852,225075.5544944172,1.9595833991626699,0,1.0,0.0
58,11,2006.59783145575,2869.9911963616614,2818.433159745444,357.05758104509135,4885.843750984997,221890.80903045912,1.93185593513065,0,1.0,0.0
59,12,6845.101184533781,2845.3567084614187,5292.76049327763,368.9595004132611,6693.385817097026,219226.1611126664,1.9086566150798823,0,1.0,0.0
60,1,2240.229486798951,4678.767968037981,1610.9866106346599,368.9595004132611,5683.699945578261,218481.51251087713,1.9021734541628572,0,1.0,0.0
61,2,9000.823587629182,3860.7294033539365,1904.3324995843577,333.25374230875195,4985.590036799868,224119.88922316727,1.9512630562231432,0,1.0,0.0
62,3,1994.1112543632887,6120.774681458774,-2.0117817788559478,368.9595004132611,6673.128397439408,225194.6990429155,1.9606207116325312,0,1.0,0.0
63,4,10098.332712414547,5655.753883887461,4315.411804633797,595.0959684084856,5326.407943046465,230711.86992312878,1.7542148978568641,0,1.0,0.0
64,5,11474.525564081445,2223.551783046423,5489.103998554812,614.9325006887685,8368.77546915408,229937.13530185897,1.7483242125836278,0,1.0,0.0
65,6,1952.8644781114933,2235.015324425214,-8.735539145447547,595.0959684084856,5548.280386627904,227990.37428850474,1.7335220388882266,0,1.0,0.0
66,7,4384.388486617415,3097.2019725541177,5494.305151606008,614.9325006887685,7344.31407809963,222018.41301728188,1.6881143039724034,0,1.0,0.0
67,8,11530.127879671702,4401.463660609123,2744.1008319551765,614.9325006887685,5593.168390915328,228997.80283400344,1.741182009585135,0,1.0,0.0
68,9,3813.9853968658585,5616.39773049482,3945.917497919494,357.05758104509135,5383.524650981868,228741.6862314177,1.9915019738257738,0,1.0,0.0
69,10,8054.978348709772,2090.0101864627504,3210.667714361043,368.9595004132611,5975.109788096939,229331.93776371895,1.996640901980926,0,1.0,0.0
70,11,6685.286899264654,2242.351796371222,5760.895763985987,357.05758104509135,7637.516882622215,224504.10623170153,1.954608178590123,0,1.0,0.0
