mo,inflow,precip,evap,outlow,demand,storage,% full,% redu,deficit
10,4831.952772110449,4809.707547404818,1571.96384618491,368.9595004132611,7355.592799540352,90281.94668541921,0.7860249611124469,1.0,0.0
11,126.77908601045286,1748.0902174072253,953.1850229959673,357.05758104509135,6111.0612087120335,84735.5121760838,0.7377358387621731,1.0,0.0
12,4692.066248541623,2469.5596194225072,14.539821005426347,368.9595004132611,6993.53819588493,84520.10052674431,0.7358603925682047,1.0,0.0
1,6643.426294215368,2618.613994319443,-16.89941779646324,368.9595004132611,7094.812055847743,86335.2686768146,0.7516638563497623,1.0,0.0
2,4341.907541878828,3067.448862156685,2953.694225944724,333.25374230875195,5435.952152870551,85021.72495972608,0.7402277034194141,1.0,0.0
3,504.6050894894956,1215.840886061822,680.3865731777041,368.9595004132611,5335.4889700242165,80357.33589166222,0.6996179650338069,0.85,15.0
4,3986.137533582659,1476.0866163153696,69.96830221371783,595.0959684084856,3729.748189890008,81424.74758104805,0.6191120782320435,0.55,44.99999999999999
5,4154.679624973149,2328.724454707699,1702.297926947358,614.9325006887685,3525.01428058152,82065.90695251126,0.6239871257174462,0.55,44.99999999999999
6,10522.578710563665,1485.8200984354044,2393.755315686474,595.0959684084856,4157.699883058307,86927.75459435707,0.6609541251495858,0.55,44.99999999999999
7,9119.72686001032,2450.6306384156196,2179.0098748194723,614.9325006887685,5243.616471953102,90460.55324532167,0.6878157167387643,0.85,15.0
8,12171.758174308823,903.3530762802402,3100.3618001679133,614.9325006887685,8734.126088885254,91086.2441061688,0.6925731495917711,0.85,14.999999999999986
9,6855.013352097188,2131.903305309941,3179.787449599171,357.05758104509135,7513.495747852692,89022.81998507897,0.7750625810131438,1.0,0.0
10,16496.399687742694,1553.743686335205,557.9812295495212,368.9595004132611,6506.503834273581,99639.51879492051,0.8674951278901597,1.0,0.0
11,3466.8686319379754,5321.840541402009,1732.822345302673,357.05758104509135,7373.2080142286495,98965.14002768409,0.861623759762276,1.0,0.0
12,5217.134155656628,3450.3695613854215,3648.1268851153873,368.9595004132611,6320.655710197164,97294.90164900033,0.8470821032644609,1.0,0.0
1,2004.2662642156079,3327.349043570721,1990.6121788025775,368.9595004132611,6598.373468495436,93668.57180907538,0.8155100572900883,1.0,0.0
2,78.75882104675442,3658.7168374803587,728.5039213323907,333.25374230875195,6693.210467861526,89651.07933609982,0.7805324180080793,1.0,0.0
3,8422.613700389611,3288.776331051282,1932.1810383521952,368.9595004132611,5824.013213961448,93237.31561481382,0.8117553959677634,0.85,15.0
4,6435.28538860038,2156.2332095371967,780.5014856525668,595.0959684084856,3697.1976203458776,96756.03913854448,0.7356833671843994,0.55,44.99999999999999
5,457.1385801137504,1294.6277268279518,19.60367417972884,614.9325006887685,3778.0159967714953,94095.25327384619,0.7154521142132545,0.55,44.99999999999999
6,845.96422315177,4157.926257238636,6722.496989098305,595.0959684084856,9027.510881300708,82754.0399154291,0.6292193363343471,0.85,15.0
7,10330.246442971667,2624.2949497586815,648.0837975074828,614.9325006887685,4043.1662392360986,90402.39877072709,0.6873735398982539,0.55,44.99999999999999
8,1596.3881678979706,1478.5952570717054,3550.7821424827125,614.9325006887685,8657.42895348439,80654.2385990409,0.6132535225555634,0.85,15.000000000000014
9,14200.403371945724,1567.767073146446,507.0690504111408,357.05758104509135,6529.426195612694,89028.85621706414,0.7751151344768827,1.0,0.0
10,11588.423797444755,3027.669130338778,-14.88597057388688,368.9595004132611,7636.360235986246,95654.51537902206,0.83280034925486,1.0,0.0
11,6828.374861870096,3448.106675627394,2001.8931111851125,357.05758104509135,6592.662819271852,96979.38340501749,0.844335095423336,1.0,0.0
12,1720.7165066194375,1119.3175267888582,2973.228450645649,368.9595004132611,8844.838576295075,87632.39091107181,0.7629570383332295,1.0,0.0
1,9468.67228228908,3695.3591037701262,1782.8797720171278,368.9595004132611,7022.025619507409,91622.55740519323,0.7976967684622489,1.0,0.0
2,8564.710096880144,3042.6979577572783,1630.9032453357795,333.25374230875195,6161.181973363082,95104.62649882304,0.828012831910106,1.0,0.0
3,5135.912818171648,4288.402184605511,-6.0295694242813624,368.9595004132611,7282.575564916238,96883.436005695,0.8434997451280649,0.85,15.0
4,851.9038297247849,1992.3150583922688,2062.4870258284354,595.0959684084856,3359.2294954117137,93710.84240416343,0.7125292508394702,0.55,44.99999999999999
5,9963.931538491535,3266.7259728403296,1938.0388169213256,614.9325006887685,3861.211304172884,100527.31729371232,0.7643582347842409,0.55,44.99999999999999
6,8165.475345029007,1728.0662840603763,48.11336031778774,595.0959684084856,5898.012801870416,103879.63679220501,0.7898475553319497,0.85,15.0
7,132.40923057182127,3555.0591492437525,230.00647250754992,614.9325006887685,8063.878013094815,98658.28818572946,0.75014709468623,1.0,0.0
8,276.89224106002985,2770.9118533222354,5183.8562506258895,614.9325006887685,10803.774893080707,85103.52863571636,0.6470836452528601,1.0,0.0
9,8652.520613244687,3141.898467586201,1684.6232282870478,357.05758104509135,6800.017853842284,88056.24905337283,0.7666472897295605,1.0,0.0
10,10991.390526428826,3735.8200909266598,2300.353465807697,368.9595004132611,6947.657365346418,93166.48933916094,0.8111387586154499,1.0,0.0
11,2258.9022179835897,5341.460044109248,203.39153091188928,357.05758104509135,8454.944479612488,91751.4580096843,0.7988190204334596,1.0,0.0
12,3743.933941875261,2813.394939302467,682.7915972582559,368.9595004132611,7157.4612443821,90099.57454880842,0.7844371680170347,1.0,0.0
1,7045.745449141723,3675.1195299842802,2119.368038562665,368.9595004132611,6930.550846987416,91401.56114197108,0.7957727007434782,1.0,0.0
2,9600.6381766263,3155.5544569462654,7742.392735292189,333.25374230875195,12579.997585219337,83502.10971272338,0.7269974225129426,1.0,0.0
3,4004.564026051478,953.4109251312912,3342.568770403115,368.9595004132611,9855.13234501811,74893.42404807167,0.6520473127377845,0.85,14.999999999999986
4,12386.69594532965,4964.942003852237,1679.038252491082,595.0959684084856,4736.053910504039,85234.87386584995,0.6480823271132237,0.55,44.99999999999999
5,8017.376545835085,2451.853039587382,182.49792752689973,614.9325006887685,4338.005864797438,90568.66715825931,0.6886377595612857,0.55,44.99999999999999
6,4643.269623248034,1600.2144101451704,3117.2337016319652,595.0959684084856,7759.625930038256,85340.19559157382,0.648883139574214,0.85,15.0
7,925.065099364641,4297.577897397772,3448.0557672292925,614.9325006887685,3768.932555087183,82730.91776533099,0.6290435273472061,0.55,44.99999999999999
8,3818.9688057721833,827.6379034125712,2472.5339694510185,614.9325006887685,8422.295338683443,75867.76266569251,0.5768596109925792,0.85,15.0
9,6816.010093916772,2038.9114249333943,2497.152926985713,357.05758104509135,7054.6086606151,74813.86501589676,0.6513546450731259,1.0,0.0
10,7041.755604761961,3374.4296488010586,791.7978371386271,368.9595004132611,7801.724717624384,76267.56821428351,0.664011073538968,1.0,0.0
11,2268.878046592041,2981.7609581474826,3814.151061199387,357.05758104509135,7751.069046798463,69595.92952998009,0.6059255455910774,1.0,0.0
12,5166.055922698752,1252.6562967169739,-8.81065364429378,368.9595004132611,7045.763253401815,68608.72964922503,0.597330651746082,1.0,0.0
1,966.9005091518798,3069.074728589927,1498.2805045478744,368.9595004132611,6116.155113214806,64661.309768790896,0.5629630879979928,0.85,15.000000000000014
2,10487.149572411105,2230.0407693828674,1368.7476823848774,333.25374230875195,5335.745419818976,70340.75326607225,0.6124102312861857,0.85,15.0
3,4658.755950205667,3275.029086362585,1128.6392253695813,368.9595004132611,6795.57872607827,69981.3608507794,0.6092812401686261,0.85,15.0
4,7986.662396680357,1413.096827528454,2614.2868402981258,595.0959684084856,3813.5444667282864,72358.19279955332,0.5501746391863943,0.4,60.0
5,2446.0609015372906,2201.3472842873016,2847.2330562043207,614.9325006887685,4509.39124693532,69034.0441815495,0.5248995155859677,0.55,44.99999999999999
6,622.1314408859596,2640.321099463603,2060.856620559178,595.0959684084856,3602.9264991847785,66037.61763374663,0.5021162227617147,0.55,44.99999999999999
7,854.0802681099628,2170.7166355488735,6667.455132120071,614.9325006887685,10179.687722359755,51600.33918223687,0.3923425515908958,0.55,44.99999999999999
8,4949.988774325133,1964.370836917049,596.5214116850402,614.9325006887685,3125.708195991736,54177.53668511351,0.4119382414692365,0.4,60.0
9,5496.4829477570465,1682.3424375412724,1643.009678257804,357.05758104509135,3416.664744299423,55939.630066809514,0.4870292141696794,0.55,44.99999999999999
10,8950.299498893763,2746.841875064558,1571.7819841960954,368.9595004132611,4022.3684460063546,61673.66151015212,0.5369516184569457,0.55,44.99999999999999
11,6169.0575313751015,2748.6742232650067,2550.9403467324228,357.05758104509135,5384.440455152667,62298.95488186204,0.5423956326394793,0.85,14.999999999999986
12,5248.42050082778,920.7909096369913,-8.72326372480893,368.9595004132611,5961.381864652104,62146.548190986265,0.5410687287825396,0.85,15.0
1,1568.339839405711,1215.2031735412093,-5.574728114486788,368.9595004132611,6135.941601702739,58430.764829931664,0.5087178703982805,0.85,15.0
2,3666.3927817090653,1631.8407410669024,1752.8046884092546,333.25374230875195,3342.15533491885,58300.78458707078,0.5075862187326812,0.55,44.99999999999999
3,16256.61583244196,2423.602396141461,579.0200260792262,368.9595004132611,4467.392639130854,71565.63065003087,0.6230744253298558,0.55,44.99999999999999
4,4527.300740444193,164.62939809261297,598.7124475382152,595.0959684084856,2996.50298995911,72067.24938266186,0.5479624544534872,0.4,60.0
5,5117.250690809576,2940.3679405293515,712.4495442467451,614.9325006887685,3379.384038191815,75418.10193087347,0.5734406210625698,0.4,60.0
6,9479.827837296341,1999.4538021145127,2778.7230698062776,595.0959684084856,4493.245317854669,79030.31921421489,0.6009060712574161,0.55,44.99999999999999
7,4680.882029885461,2800.363670802486,-12.77369431668194,614.9325006887685,4767.703395115824,81141.70271341492,0.6169599500223879,0.55,44.99999999999999
8,8519.320517272221,1001.9654703606211,1303.8126229304908,614.9325006887685,6153.470690065715,82590.7728873628,0.6279779374715224,0.85,14.999999999999986
9,5017.458655695538,2461.6144391109847,1515.8703796803893,357.05758104509135,6833.727597356009,81363.19042408782,0.7083752725439062,1.0,0.0
