mo,inflow,precip,evap,outlow,demand,storage,% full,% redu
2,63926.96027491055,4726.84610445681,36.2218200963398,55537.19008264461,5306.382487093883,183156.0367347705,1.5946179932693971,1.0
3,22466.973615110044,2906.9119234480895,5532.80798034271,61487.603305785095,7293.210115300088,134216.30087190072,1.1685322098900905,1.0
4,109709.6319080868,4901.052822457481,14.700331230531447,5950.413223140496,6388.164797472875,236473.7072506011,1.798024957921166,1.0
5,70521.04913683856,5502.465736601967,5634.248888169241,105123.96694214875,4919.735673601793,196819.27062012185,1.4965129311386463,1.0
6,49795.854475752494,4876.842945994489,3945.205615487328,65454.54545454545,4905.898702249914,177186.31826958616,1.3472340166480357,1.0
7,6388.249102401859,1639.9007752593025,375.8563945379283,47603.305785123965,5209.646330286511,132025.65963729893,1.003855497822011,1.0
8,114604.52172109314,2492.5903155699198,0.657326900807675,5950.413223140496,5673.124355962024,237498.57676795864,1.8058175408355477,1.0
9,99660.74680706032,158.2131244216871,3287.4262860122544,67438.01652892558,6981.453818000833,259610.640066502,2.2602574573816323,1.0
10,116866.10562219212,7916.6486103892385,3341.7761992274027,79338.8429752066,5727.370344270656,295985.4047803787,2.576948380311376,1.0
11,92789.96392985046,3337.965590402542,6453.048826672079,95206.611570248,6541.283550451809,283912.3903532598,2.4718366603719257,1.0
12,2711.2372652003232,5858.201521095238,3788.2905705540325,91239.66942148766,5231.186177294177,192222.68297021947,1.673555261641237,1.0
1,47640.4517477205,1983.7489738261793,2590.507247814996,61487.603305785095,5325.905519622924,172442.86761854312,1.5013455434925285,1.0
2,102002.25060329589,2350.2541892102454,0.490704319847282,55537.19008264461,4965.851403840408,216291.8402202444,1.8831094315062482,1.0
3,61879.5559905689,3149.7066426883684,1128.1479463917785,61487.603305785095,5448.171704786902,213257.1798965379,1.8566886591314307,1.0
4,84405.28110562329,5890.304816958116,3492.051572710974,83305.78512396694,5480.9135856517505,211274.01553678964,1.6064194083649288,1.0
5,119363.28687837129,5075.166021109471,5254.626077410037,83305.78512396694,5128.841326911566,242023.21590798182,1.8402205795240187,1.0
6,33934.985040835476,1347.1182783288823,6419.1847472406225,113057.85123966941,8901.178214229141,148927.10502600702,1.1323654323393144,1.0
7,46493.92782615725,3214.844733075588,4355.926457802008,17851.239669421488,6203.306284272511,170225.40517374384,1.2943067985578605,1.0
8,971.5369144683885,4429.402692941134,1025.3460337788274,41652.89256198347,6022.196085757562,126925.91009963352,0.9650796142175302,1.0
9,68600.59376422365,2221.711565916543,2085.6474156476033,13884.297520661159,4880.441462424145,176897.8290310408,1.5401319343444826,1.0
10,13020.135541808368,4234.533878784539,1766.7767732359061,61487.603305785095,5601.454427134544,125296.66394547815,1.0908748539553768,1.0
11,53779.416041224285,1991.8850320935016,3271.7083616458112,11900.826446280993,6090.349730369267,159805.0804804999,1.3913167225773042,1.0
12,52592.46227479134,2788.6854935642914,640.4278398956521,45619.834710743795,5542.919435534797,163383.04626268125,1.4224676948154227,1.0
