step,mo,inflow,precip,evap,released,supplied,storage,% full,% redu,deficit
84,1,8800.422058638002,5886.1811989528505,2058.3768646973913,368.9595004132611,6670.781424487196,97777.57287688159,0.851284401144096,1.0,0.0
85,2,1970.9273646608594,1364.8839074027492,2393.31731687719,333.25374230875195,6061.626450737218,92325.18663902205,0.8038140946439845,1.0,0.0
86,3,14460.052457958775,1723.0668535156583,2485.738706102551,368.9595004132611,6605.4004407164575,99048.20730326422,0.8623469713727334,1.0,0.0
87,4,6648.802049955874,1008.1489343229186,3455.1409591572447,595.0959684084856,9289.03594827173,93365.88541170556,0.7099063745414664,1.0,0.0
88,5,12957.33627080698,1303.208737496083,855.859402309492,614.9325006887685,5627.396861846028,100528.24165516434,0.7643652631553025,1.0,0.0
89,6,2005.410014641209,2392.4534392575442,893.1254108524299,595.0959684084856,5927.0650799397245,97510.81864986246,0.7414223240217407,1.0,0.0
90,7,1115.6402661608704,4245.966705714891,4459.239881278263,614.9325006887685,5764.757158138902,92033.49608163229,0.6997755684700717,1.0,0.0
91,8,4848.117602193866,3376.6120639374712,1896.2172664829268,614.9325006887685,6134.5290351367985,91612.54694545512,0.6965748868312466,1.0,0.0
92,9,1788.5517387481989,2652.0054324795346,3195.7657123321987,357.05758104509135,6026.6240966011765,86473.65672670437,0.752868709208242,1.0,0.0
93,10,5115.290072071807,3895.955888434226,2122.0141423337045,368.9595004132611,6203.313665453011,86790.61537901043,0.7556282577281829,1.0,0.0
94,11,6610.853979284068,2212.677898458671,3022.216466861646,357.05758104509135,6445.213782311818,85789.6594265346,0.7469135989009696,1.0,0.0
95,12,4383.861955420111,1690.2104272815632,663.7615932955523,368.9595004132611,5876.26415756936,84954.74655795812,0.739644566949966,1.0,0.0
96,1,6021.928839786551,2621.6514010798855,758.6071816399199,368.9595004132611,6218.737540370114,86252.02257640126,0.7509390878302248,1.0,0.0
97,2,10154.372851982209,1223.9418458171567,-0.9591126206796616,333.25374230875195,5456.669646336742,91841.37299817581,0.799601850533244,1.0,0.0
98,3,731.837098311785,387.91213701778906,161.18797902174992,368.9595004132611,5634.56358044233,86796.41117362803,0.7556787178634167,1.0,0.0
99,4,679.2094900851127,199.58362090273295,324.2663989221037,595.0959684084856,5585.92465133334,81169.91726595195,0.6171744790295574,1.0,0.0
100,5,4803.8001927889145,1926.0601148946298,3280.3501299202035,614.9325006887685,8276.098062603905,75728.39688042262,0.5757999449387544,1.0,0.0
101,6,1486.3013856333368,2093.394000596789,630.5381175747752,595.0959684084856,6216.448743178297,71866.0094374912,0.5464323289771522,1.0,0.0
102,7,433.5412577237176,1149.3455264588702,2124.2037474752724,38561.90438028432,7689.788093914192,25073.0,0.19064225065064946,1.0,0.0
103,8,7694.306714151627,443.270918703849,127.71210646535837,1826.4037891113549,6183.46173727876,25073.0,0.19064225065064946,1.0,100.0
